ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Van De Zandschulp B.,183,50.0,335,930.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.62,2.6,1.55,2.6,1.65,2.37,1.57
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Kecmanovic M.,16,54.0,2310,905.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.82,2.08,1.91,2.1,1.79,2.0
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Ruusuvuori E.,Khachanov K.,69,15.0,771,2520.0,7.0,6.0,2.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,2.2,1.67,2.32,1.68,2.32,1.68,2.25,1.62
2,Hong Kong,Hong Kong Tennis Open,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Kotov P.,Musetti L.,67,27.0,791,1470.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.37,1.65,2.37,1.75,2.17,1.67
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Ofner S.,Struff J.L.,43,25.0,1048,1522.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.67,2.14,1.79,2.25,1.82,2.09,1.73
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Cerundolo F.,57,21.0,886,1760.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.47,2.9,1.47,3.2,1.41,2.85
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Huesler M.A.,36,194.0,1158,312.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.44,3.02,1.46,3.05,1.4,2.91
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Broady L.,5,108.0,4805,608.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.08,8.0,1.11,7.85,1.11,8.01,1.09,7.05
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Ruusuvuori E.,Kotov P.,69,67.0,771,791.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.64,2.42,1.7,2.42,1.6,2.29
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Ofner S.,Bautista Agut R.,43,57.0,1048,886.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.2,1.36,2.85,1.48,3.2,1.48,2.83,1.42
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Shang J.,Tiafoe F.,183,16.0,335,2310.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.75,1.29,3.7,1.33,3.85,1.33,3.51,1.29
2,Hong Kong,Hong Kong Tennis Open,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Fils A.,5,36.0,4805,1158.0,6.0,4.0,1.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.3,3.5,1.32,3.71,1.32,3.83,1.29,3.54
2,Hong Kong,Hong Kong Tennis Open,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Ruusuvuori E.,Ofner S.,69,43.0,771,1048.0,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.38,1.67,2.35,1.67,2.4,1.62,2.28
2,Hong Kong,Hong Kong Tennis Open,2024-01-06,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Shang J.,5,183.0,4805,335.0,4.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,1.14,5.5,1.18,5.78,1.18,5.78,1.15,5.27
2,Hong Kong,Hong Kong Tennis Open,2024-01-07,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Ruusuvuori E.,5,69.0,4805,771.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.34,3.56,1.34,4.01,1.29,3.59
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Baez S.,62,26.0,836,1435.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.2,5.07,1.22,5.07,1.2,4.46
