match_id,player,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,Deuce,6,1,6,0,1,0,0,5,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,STotal,13,10,7,1,2,3,2,3,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,STotal,22,8,15,0,3,1,2,8,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,BP,0,0,0,0,0,0,0,0,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,BP,5,3,3,0,1,1,0,1,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,GP,15,10,11,1,5,1,1,2,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,GP,10,7,8,2,2,1,1,1,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,Deuce,3,3,1,0,0,1,2,0,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,Deuce,9,4,5,0,1,1,0,3,1
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,STotal,18,13,12,1,5,2,3,2,0
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,STotal,24,14,16,2,4,3,1,5,1
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,BP,9,4,6,0,2,1,0,0,0
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,BP,2,1,2,0,0,0,0,0,0
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,GP,7,4,4,0,3,0,0,1,0
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,GP,10,7,7,0,2,2,0,0,0
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,Deuce,5,2,3,0,0,1,0,2,0
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,Deuce,3,1,2,0,0,1,0,1,1
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,STotal,21,10,13,0,5,2,0,3,0
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,STotal,15,9,11,0,2,3,0,1,1
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,BP,9,9,7,0,2,4,1,0,0
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,BP,7,4,5,1,2,1,0,3,0
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,GP,11,9,7,1,3,1,2,2,0
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,GP,8,5,2,0,3,0,1,2,1
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,Deuce,8,7,5,0,0,4,2,0,0
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,Deuce,10,7,9,1,1,3,1,1,1
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,STotal,28,25,19,1,5,9,5,2,0
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Arthur Rinderknech,STotal,25,16,16,2,6,4,2,6,2
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,BP,11,8,5,1,1,0,1,2,0
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,BP,5,3,3,0,1,0,1,1,0
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,GP,19,7,11,0,1,1,3,5,1
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,GP,12,9,6,0,2,0,1,2,0
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Deuce,18,11,12,1,5,5,0,2,2
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Deuce,8,7,5,0,3,1,1,0,0
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,STotal,48,26,28,2,7,6,4,9,3
20260412-M-Monte_Carlo_Masters-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,STotal,25,19,14,0,6,1,3,3,0
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,BP,4,1,1,0,0,0,0,1,0
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,BP,1,0,0,0,0,0,0,0,1
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,GP,13,7,7,0,4,1,0,4,1
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,GP,13,9,8,2,1,3,1,2,1
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,Deuce,6,4,5,1,2,1,0,0,0
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,Deuce,2,2,1,0,1,0,0,0,0
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Valentin Vacherot,STotal,23,12,13,1,6,2,0,5,1
20260411-M-Monte_Carlo_Masters-SF-Valentin_Vacherot-Carlos_Alcaraz,Carlos Alcaraz,STotal,16,11,9,2,2,3,1,2,2
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,BP,4,0,2,0,0,0,0,1,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,BP,0,0,0,0,0,0,0,0,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,GP,8,5,6,0,2,2,0,1,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,GP,10,8,8,1,2,2,2,1,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,Deuce,7,6,5,0,1,1,1,1,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,Deuce,1,1,1,0,1,0,0,0,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Alexander Zverev,STotal,19,11,13,0,3,3,1,3,0
20260411-M-Monte_Carlo_Masters-SF-Alexander_Zverev-Jannik_Sinner,Jannik Sinner,STotal,11,9,9,1,3,2,2,1,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,BP,7,3,6,0,1,0,0,2,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Alexander Zverev,BP,3,1,2,0,0,1,0,1,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,GP,16,12,8,2,1,2,3,1,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Alexander Zverev,GP,25,15,16,1,2,1,4,4,1
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,Deuce,9,3,6,0,2,0,1,4,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Alexander Zverev,Deuce,10,9,6,0,1,2,5,0,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Joao Fonseca,STotal,32,18,20,2,4,2,4,7,0
20260410-M-Monte_Carlo_Masters-QF-Joao_Fonseca-Alexander_Zverev,Alexander Zverev,STotal,38,25,24,1,3,4,9,5,1
