match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,NetPointsRallies,2,1,0,1,0,1,0,18
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,ApproachRallies,1,0,0,0,0,1,0,9
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,NetPoints,14,11,6,3,1,1,1,64
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,Approach,12,9,5,2,1,1,1,56
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,NetPointsRallies,13,10,6,3,1,1,1,63
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,ApproachRallies,11,8,5,2,1,1,1,55
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,NetPoints,17,9,7,1,4,1,1,84
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,Approach,13,6,4,1,4,1,1,63
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,NetPointsRallies,17,9,7,1,4,1,1,84
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,ApproachRallies,13,6,4,1,4,1,1,63
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,NetPoints,9,6,5,0,1,1,1,53
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,Approach,2,1,1,0,1,0,0,12
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,NetPointsRallies,9,6,5,0,1,1,1,53
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,ApproachRallies,2,1,1,0,1,0,0,12
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,NetPoints,8,4,3,1,2,2,0,37
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,Approach,6,3,3,0,1,2,0,29
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,NetPointsRallies,6,2,1,1,2,2,0,31
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,ApproachRallies,4,1,1,0,1,2,0,23
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,NetPoints,9,4,4,0,1,4,0,55
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,Approach,3,0,0,0,0,3,0,27
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,NetPointsRallies,9,4,4,0,1,4,0,55
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,ApproachRallies,3,0,0,0,0,3,0,27
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,NetPoints,9,6,6,0,1,2,0,57
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,Approach,6,4,4,0,1,1,0,34
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,NetPointsRallies,8,5,5,0,1,2,0,54
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,ApproachRallies,5,3,3,0,1,1,0,31
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,NetPoints,13,10,9,0,1,1,0,76
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,Approach,8,6,5,0,1,0,0,44
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,NetPointsRallies,10,8,7,0,0,1,0,68
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,ApproachRallies,5,4,3,0,0,0,0,36
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,NetPoints,9,6,5,0,1,2,0,50
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,Approach,5,4,3,0,1,0,0,23
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,NetPointsRallies,7,5,4,0,0,2,0,45
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,ApproachRallies,3,3,2,0,0,0,0,18
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,NetPoints,8,7,6,0,0,1,0,60
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,Approach,2,2,2,0,0,0,0,22
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,NetPointsRallies,8,7,6,0,0,1,0,60
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,ApproachRallies,2,2,2,0,0,0,0,22
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,NetPoints,7,6,4,1,0,1,0,43
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,Approach,4,4,3,0,0,0,0,19
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,NetPointsRallies,6,5,4,1,0,1,0,42
